InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
4621,4621,4621,4621,0,0,0,,FortMarigot.LL,FortMarigot.LL,FortMarigot.LL,Fort Marigot,GCS_Fort_Marigot,Fort Marigot,,,,,,,,,,,,0,0,0
4622,4622,4622,4622,0,0,0,,StAnne.LL,StAnne.LL,StAnne.LL,Guadeloupe 1948,GCS_Sainte_Anne,Sainte Anne,,,,,,,,,,,,0,0,0
4623,4623,4623,4623,0,0,0,,CSG67.LL,CSG67.LL,CSG67.LL,CSG67,GCS_CSG_1967,CSG67,,,,,,,,,,,,0,0,0
4624,4624,4624,4624,0,0,0,,Guyane95.LL,Guyane95.LL,Guyane95.LL,RGFG95,GCS_RGFG_1995,RGFG95,,,,,,,,,,,,0,0,0
4625,4625,4625,4625,0,0,0,,FortDesaix.LL,FortDesaix.LL,FortDesaix.LL,Martinique 1938,GCS_Fort_Desaix,Fort Desaix,,,,,,,,,,,,0,0,0
4626,4626,4626,4626,0,0,8290,,REUNION.LL,REUNION.LL,REUNION.LL,Reunion 1947,GCS_Piton_des_Neiges|GCS_Reunion,Piton des Neiges,,,,,,,Longitude / Latitude (Reunion),,,,,0,0,0
4627,4627,4627,4627,0,0,0,,Reunion92.LL,Reunion92.LL,Reunion92.LL,RGR92,GCS_RGR_1992,RGR92,,,,,,,,,,,,0,0,0
4628,4628,4628,4628,0,0,0,,Tahiti.LL,Tahiti.LL,Tahiti.LL,Tahiti 52,GCS_Tahiti,Tahiti,,,,,,,,,,,,0,0,0
4629,4629,4629,4629,0,0,0,,Tahaa.LL,Tahaa.LL,Tahaa.LL,Tahaa 54,GCS_Tahaa,Tahaa,,,,,,,,,,,,0,0,0
4630,4630,4630,4630,0,0,0,,IGN72NukuHiva.LL,IGN72NukuHiva.LL,IGN72NukuHiva.LL,IGN72 Nuku Hiva,GCS_IGN72_Nuku_Hiva,IGN72 Nuku Hiva,,,,,,,,,,,,0,0,0
4631,4631,4631,4631,0,0,0,,K01949.LL,K01949.LL,K01949.LL,K0 1949,GCS_K0_1949,K0 1949,,,,,,,,,,,,0,0,0
4632,4632,4632,4632,0,0,0,,Combani50.LL,Combani50.LL,Combani50.LL,Combani 1950,GCS_Combani_1950,Combani 1950,,,,,,,,,,,,0,0,0
4633,4633,4633,4633,0,0,0,,IGN56Lifou.LL,IGN56Lifou.LL,IGN56Lifou.LL,IGN56 Lifou,GCS_IGN56_Lifou,IGN56 Lifou,,,,,,,,,,,,0,0,0
4635,4635,4635,4635,0,0,0,,ST87Ouvea.LL,ST87Ouvea.LL,ST87Ouvea.LL,ST87 Ouvea,GCS_ST87_Ouvea,ST87 Ouvea,,,,,,,,,,,,0,0,0
4636,4636,4636,4636,0,0,0,,Petrels72.LL,Petrels72.LL,Petrels72.LL,Petrels 1972,GCS_Petrels_1972,Petrels 1972,,,,,,,,,,,,0,0,0
4637,4637,4637,4637,0,0,0,,Perroud50.LL,Perroud50.LL,Perroud50.LL,Perroud 1950,GCS_Pointe_Geologie_Perroud_1950,Perroud 1950,,,,,,,,,,,,0,0,0
4638,4638,4638,4638,0,0,0,,Miquelon50.LL,Miquelon50.LL,Miquelon50.LL,Saint Pierre et Miquelon 1950,GCS_Saint_Pierre_et_Miquelon_1950,Saint Pierre et Miquelon 1950,,,,,,,,,,,,0,0,0
4639,4639,4639,4639,0,0,0,,MOP78.LL,MOP78.LL,MOP78.LL,MOP78,GCS_MOP78,MOP78,,,,,,,,,,,,0,0,0
4640,4640,4640,4640,0,0,0,,Antilles91.LL,Antilles91.LL,Antilles91.LL,RRAF 1991,GCS_RRAF_1991,RRAF 1991,,,,,,,,,,,,0,0,0
4641,4641,4641,4641,0,0,0,,IGN53/Mare.LL,IGN53/Mare.LL,IGN53/Mare.LL,IGN53 Mare,GCS_IGN53_Mare,IGN53 Mare,,,,,,,,,,,,0,0,0
4642,4642,4642,4642,0,0,0,,ST84IleDesPins.LL,ST84IleDesPins.LL,ST84IleDesPins.LL,ST84 Ile des Pins,GCS_ST84_Ile_des_Pins,ST84 Ile des Pins,,,,,,,,,,,,0,0,0
4643,4643,4643,4643,0,0,0,,ST71Belep.LL,ST71Belep.LL,ST71Belep.LL,ST71 Belep,GCS_ST71_Belep,ST71 Belep,,,,,,,,,,,,0,0,0
4644,4644,4644,4644,0,0,0,,NEA74Noumea.LL,NEA74Noumea.LL,NEA74Noumea.LL,NEA74 Noumea,GCS_NEA74_Noumea,NEA74 Noumea,,,,,,,,,,,,0,0,0
4645,4645,4645,4645,0,0,0,,Caledonie91.LL,Caledonie91.LL,Caledonie91.LL,RGNC 1991,GCS_RGNC_1991,RGNC 1991,,,,,,,,,,,,0,0,0
4646,4646,4646,4646,0,0,0,,GrandComoros.LL,GrandComoros.LL,,Grand Comoros,GCS_Grand_Comoros,Grand Comoros,,,,,,,,,,,,0,0,0
