SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
17100,4253,4253,4253,0,0,8246,,Luzon.LL,Luzon.LL,Luzon.LL,Luzon 1911,GCS_Luzon_1911,Luzon 1911,,,Luzon 1911,,,,Longitude / Latitude (Luzon for Philippines),,,,,0,0,0
17200,4254,4254,4254,0,0,8231,,HitoXVIII63.LL,HitoXVIII63.LL,HitoXVIII63a.LL,Hito XVIII 1963,GCS_Hito_XVIII_1963,Hito XVIII 1963,,,Hito XVIII 1963,,,,Longitude / Latitude (Hito XVIII 1963),,,,,0,0,0
17300,4255,4255,4255,0,0,0,,HeratNorth.LL,HeratNorth.LL,HeratNorth_1.LL,Herat North,GCS_Herat_North,Herat North,,,Herat North,,,,,,,,,0,0,0
17400,4256,4256,4256,0,0,8247,,Mahe1971.LL,Mahe1971.LL,Mahe1971.LL,Mahe 1971,GCS_Mahe_1971,Mahe 1971,,,Mahe 1971,,,,Longitude / Latitude (Mahe 1971),,,,,0,0,0
17500,4257,4257,4257,0,0,0,,Makassar.LL,Makassar.LL,Makassar/E.LL,Makassar,GCS_Makassar,Makassar,,,Makassar,,,,,,,,,0,0,0
17600,4258,4258,4258,0,0,0,,LL-ETRF89,ETRF89.LL,LL-ETRF89,ETRS89,GCS_ETRS_1989,ETRS89,,,ETRS89,,,,,,,,,0,0,0
17700,4259,4259,4259,0,0,0,,Malongo87.LL,Malongo87.LL,Malongo1987.LL,Malongo 1987,GCS_Malongo_1987,Malongo 1987,,,Malongo 1987,,,,,,,,,0,0,0
17800,4261,4261,4261,0,0,8251,,Merchich,Merchich,Merchich/01,Merchich,GCS_Merchich_Degree,Merchich,,,Merchich,,,,Longitude / Latitude (Merchich),,,,,0,0,0
17900,4262,4262,4262,0,0,8249,,Massawa.LL,Massawa.LL,Massawa.LL,Massawa,GCS_Massawa,Massawa,,,Massawa,,,,Longitude / Latitude (Massawa),,,,,0,0,0
18000,4263,4263,4263,0,0,8253,,Minna.LL,Minna.LL,Minna.LL,Minna,GCS_Minna,Minna,,,Minna,,,,Longitude / Latitude (Minna),,,,,0,0,0
18100,4264,4264,4264,0,0,0,,Mhast.LL,Mhast.LL,Mhast/gc.LL,Mhast,GCS_Mhast,Mhast,,,Mhast,,,,,,,,,0,0,0
