SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
20500,2227,102643,2227,0,0,40977,,CA83IIIF,NAD83.CA-III.USFt,CA83IIIF,NAD83 / California zone 3 (ftUS),NAD_1983_StatePlane_California_III_FIPS_0403_Feet,NAD83 / California zone 3 (ftUS),,,,,,,"California 0403, Zone III (1983, US Survey feet)",,,,,0,0,0
20600,2228,102644,2228,0,0,40980,,CA83-IVF,NAD83.CA-IV.USFt,CA83-IVF,NAD83 / California zone 4 (ftUS),NAD_1983_StatePlane_California_IV_FIPS_0404_Feet,NAD83 / California zone 4 (ftUS),,,,,,,"California 0404, Zone IV (1983, US Survey feet)",,,,,0,0,0
20700,2229,102645,2229,0,0,40983,,CA83-VF,NAD83.CA-V.USFt,CA83-VF,NAD83 / California zone 5 (ftUS),NAD_1983_StatePlane_California_V_FIPS_0405_Feet,NAD83 / California zone 5 (ftUS),,,,,,,"California 0405, Zone V (1983, US Survey feet)",,,,,0,0,0
20800,2230,102646,2230,0,0,40986,,CA83-VIF,NAD83.CA-VI.USFt,CA83-VIF,NAD83 / California zone 6 (ftUS),NAD_1983_StatePlane_California_VI_FIPS_0406_Feet,NAD83 / California zone 6 (ftUS),,,,,,,"California 0406, Zone VI (1983, US Survey feet)",,,,,0,0,0
20900,2231,102653,2231,0,0,40990,,CO83-NF,NAD83.CO-N.USFt,CO83-NF,NAD83 / Colorado North (ftUS),NAD_1983_StatePlane_Colorado_North_FIPS_0501_Feet,NAD83 / Colorado North (ftUS),,,,,,,"Colorado 0501, Northern Zone (1983, US Survey feet)",,,,,0,0,0
21000,2232,2232,2232,0,0,40993,,CO83-CF,NAD83.CO-C.USFt,CO83-CF,NAD83 / Colorado Central (ftUS),NAD_1983_StatePlane_Colorado_Central_FIPS_0502_Feet,NAD83 / Colorado Central (ftUS),,,,,,,"Colorado 0502, Central Zone (1983, US Survey feet)",,,,,0,0,0
21100,2233,102655,2233,0,0,40996,,CO83-SF,NAD83.CO-S.USFt,CO83-SF,NAD83 / Colorado South (ftUS),NAD_1983_StatePlane_Colorado_South_FIPS_0503_Feet,NAD83 / Colorado South (ftUS),,,,,,,"Colorado 0503, Southern Zone (1983, US Survey feet)",,,,,0,0,0
21200,2234,102656,2234,0,0,41006,,CT83F,NAD83.CT.USFt,CT83F,NAD83 / Connecticut (ftUS),NAD_1983_StatePlane_Connecticut_FIPS_0600_Feet,NAD83 / Connecticut (ftUS),,,,,,,"Connecticut 0600 (1983, US Survey feet)",,,,,0,0,0
21300,2235,102657,2235,0,0,81995,,DE83F,NAD83.DE.USFt,DE83F,NAD83 / Delaware (ftUS),NAD_1983_StatePlane_Delaware_FIPS_0700_Feet,NAD83 / Delaware (ftUS),,,,,,,"Delaware 0700 (1983, US Survey feet)",,,,,0,0,0
21400,2236,102658,2236,0,0,81998,,FL83-EF,NAD83.FL-E.USFt,FL83-EF,NAD83 / Florida East (ftUS),NAD_1983_StatePlane_Florida_East_FIPS_0901_Feet,NAD83 / Florida East (ftUS),,,,,,,"Florida 0901, Eastern Zone (1983, US Survey feet)",,,,,0,0,0
21500,2237,102659,2237,0,0,82001,,FL83-WF,NAD83.FL-W.USFt,FL83-WF,NAD83 / Florida West (ftUS),NAD_1983_StatePlane_Florida_West_FIPS_0902_Feet,NAD83 / Florida West (ftUS),,,,,,,"Florida 0902, Western Zone (1983, US Survey feet)",,,,,0,0,0
21600,2238,102660,2238,0,0,41010,,FL83-NF,NAD83.FL-N.USFt,FL83-NF,NAD83 / Florida North (ftUS),NAD_1983_StatePlane_Florida_North_FIPS_0903_Feet,NAD83 / Florida North (ftUS),,,,,,,"Florida 0903, Northern Zone (1983, US Survey feet)",,,,,0,0,0
21700,2239,102666,2239,0,0,82042,,GA83-EF,NAD83.GA-E.USFt,GA83-EF,NAD83 / Georgia East (ftUS),NAD_1983_StatePlane_Georgia_East_FIPS_1001_Feet,NAD83 / Georgia East (ftUS),,,,,,,"Georgia 1001, Eastern Zone (1983, US Survey feet)",,,,,0,0,0
21800,2240,102667,2240,0,0,82045,,GA83-WF,NAD83.GA-W.USFt,GA83-WF,NAD83 / Georgia West (ftUS),NAD_1983_StatePlane_Georgia_West_FIPS_1002_Feet,NAD83 / Georgia West (ftUS),,,,,,,"Georgia 1002, Western Zone (1983, US Survey feet)",,,,,0,0,0
21900,2241,102668,2241,0,0,82066,,ID83-EF,NAD83.ID-E.USFt,ID83-EF,NAD83 / Idaho East (ftUS),NAD_1983_StatePlane_Idaho_East_FIPS_1101_Feet,NAD83 / Idaho East (ftUS),,,,,,,"Idaho 1101, Eastern Zone (1983, US Survey feet)",,,,,0,0,0
22000,2242,102669,2242,0,0,82069,,ID83-CF,NAD83.ID-C.USFt,ID83-CF,NAD83 / Idaho Central (ftUS),NAD_1983_StatePlane_Idaho_Central_FIPS_1102_Feet,NAD83 / Idaho Central (ftUS),,,,,,,"Idaho 1102, Central Zone (1983, US Survey feet)",,,,,0,0,0
22100,2243,102670,2243,0,0,82072,,ID83-WF,NAD83.ID-W.USFt,ID83-WF,NAD83 / Idaho West (ftUS),NAD_1983_StatePlane_Idaho_West_FIPS_1103_Feet,NAD83 / Idaho West (ftUS),,,,,,,"Idaho 1103, Western Zone (1983, US Survey feet)",,,,,0,0,0
22200,2246,102679,2246,0,0,41033,,KY83-NF,NAD83.KY-N.USFt,KY83-NF,NAD83 / Kentucky North (ftUS),NAD_1983_StatePlane_Kentucky_North_FIPS_1601_Feet,NAD83 / Kentucky North (ftUS),,,,,,,"Kentucky 1601, Northern Zone (1983, US Survey feet)",,,,,0,0,0
22300,2247,102680,2247,0,0,41036,,KY83-SF,NAD83.KY-S.USFt,KY83-SF,NAD83 / Kentucky South (ftUS),NAD_1983_StatePlane_Kentucky_South_FIPS_1602_Feet,NAD83 / Kentucky South (ftUS),,,,,,,"Kentucky 1602, Southern Zone (1983, US Survey feet)",,,,,0,0,0
22400,2248,102685,2248,0,0,41048,,MD83F,NAD83.MD.USFt,MD83F,NAD83 / Maryland (ftUS),NAD_1983_StatePlane_Maryland_FIPS_1900_Feet,NAD83 / Maryland (ftUS),,,,,,,"Maryland 1900 (1983, US Survey feet)",,,,,0,0,0
22500,2249,102686,2249,0,0,41051,,MA83F,NAD83.MA.USFt,MA83F,NAD83 / Massachusetts Mainland (ftUS),NAD_1983_StatePlane_Massachusetts_Mainland_FIPS_2001_Feet,NAD83 / Massachusetts Mainland (ftUS),,,,,,,"Massachusetts 2001, Mainland Zone (1983, US Survey feet)",,,,,0,0,0
22600,2250,102687,2250,0,0,41054,,MA83-ISF,NAD83.MA-IS.USFt,MA83-ISF,NAD83 / Massachusetts Island (ftUS),NAD_1983_StatePlane_Massachusetts_Island_FIPS_2002_Feet,NAD83 / Massachusetts Island (ftUS),,,,,,,"Massachusetts 2002, Island Zone (1983, US Survey feet)",,,,,0,0,0
